Time	Node	Type	Packets	
0.5	Router0	CacheHits	0
0.5	Router0	CacheMisses	0
1	Router0	CacheHits	0
1	Router0	CacheMisses	0
1.5	Router0	CacheHits	0
1.5	Router0	CacheMisses	0
2	Router0	CacheHits	0
2	Router0	CacheMisses	0
2.5	Router0	CacheHits	0
2.5	Router0	CacheMisses	39
3	Router0	CacheHits	0
3	Router0	CacheMisses	43
3.5	Router0	CacheHits	44
3.5	Router0	CacheMisses	43
4	Router0	CacheHits	46
4	Router0	CacheMisses	44
4.5	Router0	CacheHits	46
4.5	Router0	CacheMisses	43
5	Router0	CacheHits	46
5	Router0	CacheMisses	46
5.5	Router0	CacheHits	45
5.5	Router0	CacheMisses	43
6	Router0	CacheHits	46
6	Router0	CacheMisses	44
6.5	Router0	CacheHits	46
6.5	Router0	CacheMisses	43
7	Router0	CacheHits	46
7	Router0	CacheMisses	44
7.5	Router0	CacheHits	46
7.5	Router0	CacheMisses	41
8	Router0	CacheHits	46
8	Router0	CacheMisses	43
8.5	Router0	CacheHits	47
8.5	Router0	CacheMisses	43
9	Router0	CacheHits	46
9	Router0	CacheMisses	44
9.5	Router0	CacheHits	46
9.5	Router0	CacheMisses	43
10	Router0	CacheHits	46
10	Router0	CacheMisses	44
10.5	Router0	CacheHits	46
10.5	Router0	CacheMisses	44
11	Router0	CacheHits	45
11	Router0	CacheMisses	45
11.5	Router0	CacheHits	46
11.5	Router0	CacheMisses	43
12	Router0	CacheHits	46
12	Router0	CacheMisses	44
12.5	Router0	CacheHits	46
12.5	Router0	CacheMisses	40
13	Router0	CacheHits	46
13	Router0	CacheMisses	44
13.5	Router0	CacheHits	46
13.5	Router0	CacheMisses	43
14	Router0	CacheHits	12
14	Router0	CacheMisses	79
14.5	Router0	CacheHits	0
14.5	Router0	CacheMisses	85
15	Router0	CacheHits	0
15	Router0	CacheMisses	90
15.5	Router0	CacheHits	0
15.5	Router0	CacheMisses	87
16	Router0	CacheHits	0
16	Router0	CacheMisses	92
16.5	Router0	CacheHits	0
16.5	Router0	CacheMisses	86
17	Router0	CacheHits	0
17	Router0	CacheMisses	89
17.5	Router0	CacheHits	0
17.5	Router0	CacheMisses	87
18	Router0	CacheHits	0
18	Router0	CacheMisses	87
18.5	Router0	CacheHits	0
18.5	Router0	CacheMisses	84
19	Router0	CacheHits	0
19	Router0	CacheMisses	87
19.5	Router0	CacheHits	0
19.5	Router0	CacheMisses	86
20	Router0	CacheHits	0
20	Router0	CacheMisses	88
20.5	Router0	CacheHits	0
20.5	Router0	CacheMisses	88
21	Router0	CacheHits	0
21	Router0	CacheMisses	85
21.5	Router0	CacheHits	0
21.5	Router0	CacheMisses	88
22	Router0	CacheHits	0
22	Router0	CacheMisses	84
22.5	Router0	CacheHits	0
22.5	Router0	CacheMisses	86
23	Router0	CacheHits	0
23	Router0	CacheMisses	85
23.5	Router0	CacheHits	0
23.5	Router0	CacheMisses	86
24	Router0	CacheHits	0
24	Router0	CacheMisses	88
24.5	Router0	CacheHits	0
24.5	Router0	CacheMisses	88
25	Router0	CacheHits	0
25	Router0	CacheMisses	91
25.5	Router0	CacheHits	0
25.5	Router0	CacheMisses	85
26	Router0	CacheHits	0
26	Router0	CacheMisses	91
26.5	Router0	CacheHits	0
26.5	Router0	CacheMisses	87
27	Router0	CacheHits	0
27	Router0	CacheMisses	89
27.5	Router0	CacheHits	0
27.5	Router0	CacheMisses	89
28	Router0	CacheHits	0
28	Router0	CacheMisses	87
28.5	Router0	CacheHits	0
28.5	Router0	CacheMisses	90
29	Router0	CacheHits	0
29	Router0	CacheMisses	85
29.5	Router0	CacheHits	0
29.5	Router0	CacheMisses	89
30	Router0	CacheHits	0
30	Router0	CacheMisses	92
30.5	Router0	CacheHits	0
30.5	Router0	CacheMisses	87
31	Router0	CacheHits	0
31	Router0	CacheMisses	90
31.5	Router0	CacheHits	0
31.5	Router0	CacheMisses	88
32	Router0	CacheHits	0
32	Router0	CacheMisses	88
32.5	Router0	CacheHits	0
32.5	Router0	CacheMisses	90
33	Router0	CacheHits	0
33	Router0	CacheMisses	90
33.5	Router0	CacheHits	0
33.5	Router0	CacheMisses	88
34	Router0	CacheHits	0
34	Router0	CacheMisses	89
34.5	Router0	CacheHits	0
34.5	Router0	CacheMisses	89
35	Router0	CacheHits	0
35	Router0	CacheMisses	91
35.5	Router0	CacheHits	0
35.5	Router0	CacheMisses	88
36	Router0	CacheHits	0
36	Router0	CacheMisses	90
36.5	Router0	CacheHits	0
36.5	Router0	CacheMisses	87
37	Router0	CacheHits	0
37	Router0	CacheMisses	91
37.5	Router0	CacheHits	0
37.5	Router0	CacheMisses	89
38	Router0	CacheHits	0
38	Router0	CacheMisses	87
38.5	Router0	CacheHits	0
38.5	Router0	CacheMisses	89
39	Router0	CacheHits	0
39	Router0	CacheMisses	90
39.5	Router0	CacheHits	0
39.5	Router0	CacheMisses	90
40	Router0	CacheHits	0
40	Router0	CacheMisses	90
40.5	Router0	CacheHits	0
40.5	Router0	CacheMisses	88
41	Router0	CacheHits	0
41	Router0	CacheMisses	92
41.5	Router0	CacheHits	0
41.5	Router0	CacheMisses	87
42	Router0	CacheHits	0
42	Router0	CacheMisses	91
42.5	Router0	CacheHits	0
42.5	Router0	CacheMisses	87
43	Router0	CacheHits	0
43	Router0	CacheMisses	91
43.5	Router0	CacheHits	0
43.5	Router0	CacheMisses	87
44	Router0	CacheHits	0
44	Router0	CacheMisses	88
44.5	Router0	CacheHits	0
44.5	Router0	CacheMisses	92
45	Router0	CacheHits	0
45	Router0	CacheMisses	87
45.5	Router0	CacheHits	0
45.5	Router0	CacheMisses	86
46	Router0	CacheHits	0
46	Router0	CacheMisses	88
46.5	Router0	CacheHits	0
46.5	Router0	CacheMisses	88
47	Router0	CacheHits	0
47	Router0	CacheMisses	89
47.5	Router0	CacheHits	0
47.5	Router0	CacheMisses	91
48	Router0	CacheHits	0
48	Router0	CacheMisses	90
48.5	Router0	CacheHits	0
48.5	Router0	CacheMisses	88
49	Router0	CacheHits	0
49	Router0	CacheMisses	91
49.5	Router0	CacheHits	0
49.5	Router0	CacheMisses	87
50	Router0	CacheHits	0
50	Router0	CacheMisses	91
50.5	Router0	CacheHits	0
50.5	Router0	CacheMisses	91
51	Router0	CacheHits	0
51	Router0	CacheMisses	89
51.5	Router0	CacheHits	0
51.5	Router0	CacheMisses	87
52	Router0	CacheHits	0
52	Router0	CacheMisses	90
52.5	Router0	CacheHits	0
52.5	Router0	CacheMisses	87
53	Router0	CacheHits	0
53	Router0	CacheMisses	89
53.5	Router0	CacheHits	0
53.5	Router0	CacheMisses	91
54	Router0	CacheHits	0
54	Router0	CacheMisses	91
54.5	Router0	CacheHits	0
54.5	Router0	CacheMisses	86
55	Router0	CacheHits	0
55	Router0	CacheMisses	92
55.5	Router0	CacheHits	0
55.5	Router0	CacheMisses	87
56	Router0	CacheHits	0
56	Router0	CacheMisses	86
56.5	Router0	CacheHits	0
56.5	Router0	CacheMisses	90
57	Router0	CacheHits	0
57	Router0	CacheMisses	84
57.5	Router0	CacheHits	0
