Time	Node	Type	Packets	
0.5	RouterNet	CacheHits	0
0.5	RouterNet	CacheMisses	0
1	RouterNet	CacheHits	0
1	RouterNet	CacheMisses	0
1.5	RouterNet	CacheHits	0
1.5	RouterNet	CacheMisses	30
2	RouterNet	CacheHits	0
2	RouterNet	CacheMisses	41
2.5	RouterNet	CacheHits	38
2.5	RouterNet	CacheMisses	42
3	RouterNet	CacheHits	43
3	RouterNet	CacheMisses	45
3.5	RouterNet	CacheHits	43
3.5	RouterNet	CacheMisses	42
4	RouterNet	CacheHits	44
4	RouterNet	CacheMisses	42
4.5	RouterNet	CacheHits	43
4.5	RouterNet	CacheMisses	41
5	RouterNet	CacheHits	46
5	RouterNet	CacheMisses	41
5.5	RouterNet	CacheHits	43
5.5	RouterNet	CacheMisses	46
6	RouterNet	CacheHits	44
6	RouterNet	CacheMisses	42
6.5	RouterNet	CacheHits	43
6.5	RouterNet	CacheMisses	38
7	RouterNet	CacheHits	44
7	RouterNet	CacheMisses	36
7.5	RouterNet	CacheHits	41
7.5	RouterNet	CacheMisses	42
8	RouterNet	CacheHits	43
8	RouterNet	CacheMisses	46
8.5	RouterNet	CacheHits	43
8.5	RouterNet	CacheMisses	42
9	RouterNet	CacheHits	44
9	RouterNet	CacheMisses	41
9.5	RouterNet	CacheHits	43
9.5	RouterNet	CacheMisses	42
10	RouterNet	CacheHits	44
10	RouterNet	CacheMisses	42
10.5	RouterNet	CacheHits	45
10.5	RouterNet	CacheMisses	45
11	RouterNet	CacheHits	44
11	RouterNet	CacheMisses	42
11.5	RouterNet	CacheHits	43
11.5	RouterNet	CacheMisses	40
12	RouterNet	CacheHits	44
12	RouterNet	CacheMisses	38
12.5	RouterNet	CacheHits	41
12.5	RouterNet	CacheMisses	42
13	RouterNet	CacheHits	43
13	RouterNet	CacheMisses	42
13.5	RouterNet	CacheHits	44
13.5	RouterNet	CacheMisses	45
14	RouterNet	CacheHits	45
14	RouterNet	CacheMisses	42
14.5	RouterNet	CacheHits	44
14.5	RouterNet	CacheMisses	46
15	RouterNet	CacheHits	45
15	RouterNet	CacheMisses	42
15.5	RouterNet	CacheHits	44
15.5	RouterNet	CacheMisses	45
16	RouterNet	CacheHits	45
16	RouterNet	CacheMisses	42
16.5	RouterNet	CacheHits	44
16.5	RouterNet	CacheMisses	41
17	RouterNet	CacheHits	44
17	RouterNet	CacheMisses	42
17.5	RouterNet	CacheHits	43
17.5	RouterNet	CacheMisses	42
18	RouterNet	CacheHits	43
18	RouterNet	CacheMisses	41
18.5	RouterNet	CacheHits	41
18.5	RouterNet	CacheMisses	42
19	RouterNet	CacheHits	44
19	RouterNet	CacheMisses	41
19.5	RouterNet	CacheHits	43
19.5	RouterNet	CacheMisses	42
20	RouterNet	CacheHits	46
20	RouterNet	CacheMisses	42
20.5	RouterNet	CacheHits	43
20.5	RouterNet	CacheMisses	41
21	RouterNet	CacheHits	41
21	RouterNet	CacheMisses	42
21.5	RouterNet	CacheHits	46
21.5	RouterNet	CacheMisses	41
22	RouterNet	CacheHits	41
22	RouterNet	CacheMisses	38
22.5	RouterNet	CacheHits	32
22.5	RouterNet	CacheMisses	51
23	RouterNet	CacheHits	42
23	RouterNet	CacheMisses	44
23.5	RouterNet	CacheHits	45
23.5	RouterNet	CacheMisses	45
24	RouterNet	CacheHits	55
24	RouterNet	CacheMisses	30
24.5	RouterNet	CacheHits	45
24.5	RouterNet	CacheMisses	45
25	RouterNet	CacheHits	46
25	RouterNet	CacheMisses	46
25.5	RouterNet	CacheHits	40
25.5	RouterNet	CacheMisses	38
26	RouterNet	CacheHits	47
26	RouterNet	CacheMisses	45
26.5	RouterNet	CacheHits	28
26.5	RouterNet	CacheMisses	57
27	RouterNet	CacheHits	26
27	RouterNet	CacheMisses	61
27.5	RouterNet	CacheHits	68
27.5	RouterNet	CacheMisses	20
28	RouterNet	CacheHits	52
28	RouterNet	CacheMisses	33
28.5	RouterNet	CacheHits	46
28.5	RouterNet	CacheMisses	46
29	RouterNet	CacheHits	41
29	RouterNet	CacheMisses	43
29.5	RouterNet	CacheHits	42
29.5	RouterNet	CacheMisses	44
30	RouterNet	CacheHits	45
30	RouterNet	CacheMisses	45
30.5	RouterNet	CacheHits	34
30.5	RouterNet	CacheMisses	53
31	RouterNet	CacheHits	10
31	RouterNet	CacheMisses	76
31.5	RouterNet	CacheHits	53
31.5	RouterNet	CacheMisses	36
