Time	Node	Type	Packets	
51.5	Router0	CacheMisses	86
52	Router0	CacheHits	0
52	Router0	CacheMisses	92
52.5	Router0	CacheHits	0
52.5	Router0	CacheMisses	88
53	Router0	CacheHits	0
53	Router0	CacheMisses	89
53.5	Router0	CacheHits	0
53.5	Router0	CacheMisses	89
54	Router0	CacheHits	0
54	Router0	CacheMisses	92
54.5	Router0	CacheHits	0
54.5	Router0	CacheMisses	86
55	Router0	CacheHits	0
55	Router0	CacheMisses	91
55.5	Router0	CacheHits	0
55.5	Router0	CacheMisses	89
56	Router0	CacheHits	0
56	Router0	CacheMisses	84
56.5	Router0	CacheHits	16
56.5	Router0	CacheMisses	73
57	Router0	CacheHits	0
57	Router0	CacheMisses	90
57.5	Router0	CacheHits	0
57.5	Router0	CacheMisses	89
58	Router0	CacheHits	0
58	Router0	CacheMisses	84
58.5	Router0	CacheHits	0
58.5	Router0	CacheMisses	90
59	Router0	CacheHits	12
59	Router0	CacheMisses	76
59.5	Router0	CacheHits	46
59.5	Router0	CacheMisses	44
60	Router0	CacheHits	45
60	Router0	CacheMisses	45
60.5	Router0	CacheHits	46
60.5	Router0	CacheMisses	46
61	Router0	CacheHits	46
61	Router0	CacheMisses	45
61.5	Router0	CacheHits	45
61.5	Router0	CacheMisses	46
62	Router0	CacheHits	46
62	Router0	CacheMisses	45
62.5	Router0	CacheHits	45
62.5	Router0	CacheMisses	46
63	Router0	CacheHits	46
63	Router0	CacheMisses	44
63.5	Router0	CacheHits	45
63.5	Router0	CacheMisses	45
64	Router0	CacheHits	46
64	Router0	CacheMisses	46
64.5	Router0	CacheHits	46
64.5	Router0	CacheMisses	45
65	Router0	CacheHits	45
65	Router0	CacheMisses	46
65.5	Router0	CacheHits	46
65.5	Router0	CacheMisses	45
66	Router0	CacheHits	45
66	Router0	CacheMisses	46
66.5	Router0	CacheHits	46
66.5	Router0	CacheMisses	45
67	Router0	CacheHits	45
67	Router0	CacheMisses	46
67.5	Router0	CacheHits	46
67.5	Router0	CacheMisses	45
68	Router0	CacheHits	45
68	Router0	CacheMisses	44
68.5	Router0	CacheHits	46
68.5	Router0	CacheMisses	41
69	Router0	CacheHits	46
69	Router0	CacheMisses	43
69.5	Router0	CacheHits	37
69.5	Router0	CacheMisses	50
70	Router0	CacheHits	52
70	Router0	CacheMisses	37
70.5	Router0	CacheHits	46
70.5	Router0	CacheMisses	45
71	Router0	CacheHits	46
71	Router0	CacheMisses	43
71.5	Router0	CacheHits	46
71.5	Router0	CacheMisses	46
72	Router0	CacheHits	45
72	Router0	CacheMisses	45
72.5	Router0	CacheHits	46
72.5	Router0	CacheMisses	46
73	Router0	CacheHits	45
73	Router0	CacheMisses	45
73.5	Router0	CacheHits	46
73.5	Router0	CacheMisses	46
74	Router0	CacheHits	45
74	Router0	CacheMisses	45
74.5	Router0	CacheHits	46
74.5	Router0	CacheMisses	46
75	Router0	CacheHits	45
75	Router0	CacheMisses	43
75.5	Router0	CacheHits	47
75.5	Router0	CacheMisses	41
76	Router0	CacheHits	46
76	Router0	CacheMisses	43
76.5	Router0	CacheHits	46
76.5	Router0	CacheMisses	43
77	Router0	CacheHits	46
77	Router0	CacheMisses	46
77.5	Router0	CacheHits	45
77.5	Router0	CacheMisses	44
78	Router0	CacheHits	46
78	Router0	CacheMisses	43
78.5	Router0	CacheHits	46
78.5	Router0	CacheMisses	45
79	Router0	CacheHits	46
79	Router0	CacheMisses	46
79.5	Router0	CacheHits	45
79.5	Router0	CacheMisses	44
80	Router0	CacheHits	37
80	Router0	CacheMisses	50
80.5	Router0	CacheHits	45
80.5	Router0	CacheMisses	46
81	Router0	CacheHits	53
81	Router0	CacheMisses	36
81.5	Router0	CacheHits	3
81.5	Router0	CacheMisses	86
82	Router0	CacheHits	0
82	Router0	CacheMisses	90
82.5	Router0	CacheHits	0
82.5	Router0	CacheMisses	88
83	Router0	CacheHits	0
83	Router0	CacheMisses	86
83.5	Router0	CacheHits	0
83.5	Router0	CacheMisses	89
84	Router0	CacheHits	0
84	Router0	CacheMisses	87
84.5	Router0	CacheHits	0
84.5	Router0	CacheMisses	87
85	Router0	CacheHits	0
85	Router0	CacheMisses	90
85.5	Router0	CacheHits	0
85.5	Router0	CacheMisses	89
86	Router0	CacheHits	4
86	Router0	CacheMisses	83
86.5	Router0	CacheHits	45
86.5	Router0	CacheMisses	44
87	Router0	CacheHits	46
87	Router0	CacheMisses	45
87.5	Router0	CacheHits	46
87.5	Router0	CacheMisses	44
88	Router0	CacheHits	34
88	Router0	CacheMisses	43
88.5	Router0	CacheHits	46
88.5	Router0	CacheMisses	45
89	Router0	CacheHits	46
89	Router0	CacheMisses	44
89.5	Router0	CacheHits	23
89.5	Router0	CacheMisses	64
90	Router0	CacheHits	46
90	Router0	CacheMisses	45
90.5	Router0	CacheHits	58
90.5	Router0	CacheMisses	31
91	Router0	CacheHits	54
91	Router0	CacheMisses	38
91.5	Router0	CacheHits	45
91.5	Router0	CacheMisses	45
92	Router0	CacheHits	46
92	Router0	CacheMisses	44
92.5	Router0	CacheHits	46
92.5	Router0	CacheMisses	43
93	Router0	CacheHits	46
93	Router0	CacheMisses	46
93.5	Router0	CacheHits	45
93.5	Router0	CacheMisses	43
94	Router0	CacheHits	46
94	Router0	CacheMisses	43
94.5	Router0	CacheHits	46
94.5	Router0	CacheMisses	46
95	Router0	CacheHits	46
95	Router0	CacheMisses	45
95.5	Router0	CacheHits	45
95.5	Router0	CacheMisses	44
96	Router0	CacheHits	46
96	Router0	CacheMisses	43
96.5	Router0	CacheHits	46
96.5	Router0	CacheMisses	45
97	Router0	CacheHits	46
97	Router0	CacheMisses	46
97.5	Router0	CacheHits	45
97.5	Router0	CacheMisses	43
98	Router0	CacheHits	38
98	Router0	CacheMisses	50
98.5	Router0	CacheHits	45
98.5	Router0	CacheMisses	46
99	Router0	CacheHits	46
99	Router0	CacheMisses	45
99.5	Router0	CacheHits	52
99.5	Router0	CacheMisses	37
100	Router0	CacheHits	7
100	Router0	CacheMisses	44
100.5	Router0	CacheHits	0
100.5	Router0	CacheMisses	46
101	Router0	CacheHits	0
101	Router0	CacheMisses	45
101.5	Router0	CacheHits	0
101.5	Router0	CacheMisses	46
102	Router0	CacheHits	0
102	Router0	CacheMisses	45
102.5	Router0	CacheHits	0
102.5	Router0	CacheMisses	44
103	Router0	CacheHits	12
103	Router0	CacheMisses	79
103.5	Router0	CacheHits	40
103.5	Router0	CacheMisses	43
104	Router0	CacheHits	44
104	Router0	CacheMisses	46
104.5	Router0	CacheHits	45
104.5	Router0	CacheMisses	45
105	Router0	CacheHits	46
105	Router0	CacheMisses	46
105.5	Router0	CacheHits	49
105.5	Router0	CacheMisses	40
106	Router0	CacheHits	24
106	Router0	CacheMisses	64
106.5	Router0	CacheHits	45
