Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
3.57908	Streamer0	0	2	0	624758	0	
5.57908	Streamer0	1	2	0	624758	0	
7.57908	Streamer0	2	2	0	624758	0	
9.57908	Streamer0	3	2	0	624758	0	
11.5791	Streamer0	4	2	0	624758	0	
13.5791	Streamer0	5	2	0	624758	0	
15.5791	Streamer0	6	2	0	624758	0	
17.5791	Streamer0	7	2	0	624758	0	
19.5791	Streamer0	8	2	0	624758	0	
21.5791	Streamer0	9	2	0	624758	0	
23.5791	Streamer0	10	2	0	624758	0	
25.5791	Streamer0	11	2	0	624758	0	
27.5791	Streamer0	12	2	0	624758	0	
29.5791	Streamer0	13	2	0	624758	0	
31.5791	Streamer0	14	2	1	2122081	0	0
33.5791	Streamer0	15	2	1	2122081	0	0
35.5791	Streamer0	16	2	1	2122081	0	0
37.5791	Streamer0	17	2	1	2122081	0	0
39.5791	Streamer0	18	2	1	2122081	0	0
41.5791	Streamer0	19	2	1	2122081	0	0
43.5791	Streamer0	20	2	1	2122081	0	0
45.5791	Streamer0	21	2	1	2122081	0	0
47.5791	Streamer0	22	2	1	2122081	0	0
49.5791	Streamer0	23	2	1	2122081	0	0
51.5791	Streamer0	24	2	1	2122081	0	0
53.5791	Streamer0	25	2	1	2122081	0	0
55.5791	Streamer0	26	2	1	2122081	0	0
57.5791	Streamer0	27	2	1	2122081	0	0
59.5791	Streamer0	28	2	1	2122081	0	0
61.5791	Streamer0	29	2	1	2122081	0	0
63.5791	Streamer0	30	2	1	2122081	0	0
65.5791	Streamer0	31	2	1	2122081	0	0
67.5791	Streamer0	32	2	1	2122081	0	0
69.5791	Streamer0	33	2	1	2122081	0	0
71.5791	Streamer0	34	2	1	2122081	0	0
73.5791	Streamer0	35	2	1	2122081	0	0
75.5791	Streamer0	36	2	2	5108358	0	0,1
77.5791	Streamer0	37	2	2	5108358	0	0,1
79.5791	Streamer0	38	2	2	5108358	0	0,1
81.5791	Streamer0	39	2	2	5108358	0	0,1
83.5791	Streamer0	40	2	1	2122081	0	0
85.5791	Streamer0	41	2	1	2122081	0	0
87.5791	Streamer0	42	2	1	2122081	0	0
89.5791	Streamer0	43	2	1	2122081	0	0
91.5791	Streamer0	44	2	1	2122081	0	0
93.5791	Streamer0	45	2	1	2122081	0	0
95.5791	Streamer0	46	2	1	2122081	0	0
97.5791	Streamer0	47	2	1	2122081	0	0
99.5791	Streamer0	48	2	1	2122081	0	0
101.579	Streamer0	49	2	1	2122081	0	0
103.579	Streamer0	50	2	1	2122081	0	0
105.579	Streamer0	51	2	1	2122081	0	0
107.579	Streamer0	52	2	1	2122081	0	0
