Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2.68207	Streamer1	0	2	0	624758	0	
4.68207	Streamer1	1	2	0	624758	0	
6.68207	Streamer1	2	2	0	624758	0	
8.68207	Streamer1	3	2	0	624758	0	
10.6821	Streamer1	4	2	0	624758	0	
12.6821	Streamer1	5	2	0	624758	0	
14.6821	Streamer1	6	2	0	624758	0	
16.6821	Streamer1	7	2	0	624758	0	
18.6821	Streamer1	8	2	0	624758	0	
20.6821	Streamer1	9	2	0	624758	0	
22.6821	Streamer1	10	2	0	624758	0	
24.6821	Streamer1	11	2	0	624758	0	
26.6821	Streamer1	12	2	0	624758	0	
28.6821	Streamer1	13	2	0	624758	0	
30.6821	Streamer1	14	2	1	2122081	0	0
32.6821	Streamer1	15	2	1	2122081	0	0
34.6821	Streamer1	16	2	1	2122081	0	0
36.6821	Streamer1	17	2	1	2122081	0	0
38.6821	Streamer1	18	2	1	2122081	0	0
40.6821	Streamer1	19	2	1	2122081	0	0
42.6821	Streamer1	20	2	1	2122081	0	0
44.6821	Streamer1	21	2	1	2122081	0	0
46.6821	Streamer1	22	2	1	2122081	0	0
48.6821	Streamer1	23	2	1	2122081	0	0
50.6821	Streamer1	24	2	1	2122081	0	0
52.6821	Streamer1	25	2	1	2122081	0	0
54.6821	Streamer1	26	2	1	2122081	0	0
56.6821	Streamer1	27	2	1	2122081	0	0
58.6821	Streamer1	28	2	1	2122081	0	0
60.6821	Streamer1	29	2	1	2122081	0	0
62.6821	Streamer1	30	2	1	2122081	0	0
64.6821	Streamer1	31	2	1	2122081	0	0
66.6821	Streamer1	32	2	1	2122081	0	0
68.6821	Streamer1	33	2	1	2122081	0	0
70.6821	Streamer1	34	2	1	2122081	0	0
72.6821	Streamer1	35	2	2	5108358	0	0,1
74.6821	Streamer1	36	2	2	5108358	0	0,1
76.6821	Streamer1	37	2	2	5108358	0	0,1
78.6821	Streamer1	38	2	2	5108358	0	0,1
80.6821	Streamer1	39	2	2	5108358	0	0,1
82.6821	Streamer1	40	2	1	2122081	0	0
84.6821	Streamer1	41	2	1	2122081	0	0
86.6821	Streamer1	42	2	1	2122081	0	0
88.6821	Streamer1	43	2	1	2122081	0	0
90.6821	Streamer1	44	2	1	2122081	0	0
92.6821	Streamer1	45	2	1	2122081	0	0
94.6821	Streamer1	46	2	1	2122081	0	0
96.6821	Streamer1	47	2	1	2122081	0	0
98.6821	Streamer1	48	2	1	2122081	0	0
100.682	Streamer1	49	2	1	2122081	0	0
102.682	Streamer1	50	2	1	2122081	0	0
104.682	Streamer1	51	2	1	2122081	0	0
106.682	Streamer1	52	2	1	2122081	0	0
108.682	Streamer1	53	2	1	2122081	0	0
110.682	Streamer1	54	2	1	2122081	0	0
112.682	Streamer1	55	2	1	2122081	0	0
114.682	Streamer1	56	2	1	2122081	0	0
116.682	Streamer1	57	2	1	2122081	0	0
118.682	Streamer1	58	2	1	2122081	0	0
120.682	Streamer1	59	2	1	2122081	0	0
122.682	Streamer1	60	2	1	2122081	0	0
124.682	Streamer1	61	2	1	2122081	0	0
126.682	Streamer1	62	2	1	2122081	0	0
128.682	Streamer1	63	2	1	2122081	0	0
130.682	Streamer1	64	2	1	2122081	0	0
132.682	Streamer1	65	2	1	2122081	0	0
134.682	Streamer1	66	2	1	2122081	0	0
136.682	Streamer1	67	2	1	2122081	0	0
138.682	Streamer1	68	2	1	2122081	0	0
140.682	Streamer1	69	2	1	2122081	0	0
142.682	Streamer1	70	2	1	2122081	0	0
144.682	Streamer1	71	2	1	2122081	0	0
146.682	Streamer1	72	2	1	2122081	0	0
148.682	Streamer1	73	2	1	2122081	0	0
150.682	Streamer1	74	2	1	2122081	0	0
152.682	Streamer1	75	2	1	2122081	0	0
154.682	Streamer1	76	2	2	5108358	0	0,1
156.682	Streamer1	77	2	2	5108358	0	0,1
158.682	Streamer1	78	2	2	5108358	0	0,1
160.682	Streamer1	79	2	2	5108358	0	0,1
162.682	Streamer1	80	2	2	5108358	0	0,1
164.682	Streamer1	81	2	2	5108358	0	0,1
166.682	Streamer1	82	2	2	5108358	0	0,1
168.682	Streamer1	83	2	2	5108358	0	0,1
170.682	Streamer1	84	2	2	5108358	0	0,1
172.682	Streamer1	85	2	2	5108358	0	0,1
174.682	Streamer1	86	2	2	5108358	0	0,1
176.682	Streamer1	87	2	2	5108358	0	0,1
178.682	Streamer1	88	2	2	5108358	0	0,1
180.682	Streamer1	89	2	1	2122081	0	0
182.682	Streamer1	90	2	1	2122081	0	0
184.682	Streamer1	91	2	1	2122081	0	0
186.682	Streamer1	92	2	1	2122081	0	0
188.682	Streamer1	93	2	1	2122081	0	0
190.682	Streamer1	94	2	1	2122081	0	0
192.682	Streamer1	95	2	1	2122081	0	0
194.682	Streamer1	96	2	1	2122081	0	0
196.682	Streamer1	97	2	1	2122081	0	0
198.682	Streamer1	98	2	1	2122081	0	0
200.682	Streamer1	99	2	1	2122081	0	0
202.682	Streamer1	100	2	1	2122081	0	0
204.682	Streamer1	101	2	1	2122081	0	0
206.682	Streamer1	102	2	1	2122081	0	0
208.682	Streamer1	103	2	2	5108358	0	0,1
210.682	Streamer1	104	2	2	5108358	0	0,1
212.682	Streamer1	105	2	2	5108358	0	0,1
214.682	Streamer1	106	2	2	5108358	0	0,1
216.682	Streamer1	107	2	2	5108358	0	0,1
218.682	Streamer1	108	2	2	5108358	0	0,1
220.682	Streamer1	109	2	2	5108358	0	0,1
222.682	Streamer1	110	2	1	2122081	0	0
224.682	Streamer1	111	2	1	2122081	0	0
226.682	Streamer1	112	2	1	2122081	0	0
228.682	Streamer1	113	2	1	2122081	0	0
230.682	Streamer1	114	2	1	2122081	0	0
232.682	Streamer1	115	2	1	2122081	0	0
234.682	Streamer1	116	2	1	2122081	0	0
236.682	Streamer1	117	2	1	2122081	0	0
238.682	Streamer1	118	2	1	2122081	0	0
240.682	Streamer1	119	2	1	2122081	0	0
242.682	Streamer1	120	2	1	2122081	0	0
244.682	Streamer1	121	2	1	2122081	0	0
246.682	Streamer1	122	2	1	2122081	0	0
248.682	Streamer1	123	2	1	2122081	0	0
250.682	Streamer1	124	2	1	2122081	0	0
252.682	Streamer1	125	2	1	2122081	0	0
254.682	Streamer1	126	2	1	2122081	0	0
256.682	Streamer1	127	2	1	2122081	0	0
258.682	Streamer1	128	2	1	2122081	0	0
260.682	Streamer1	129	2	1	2122081	0	0
262.682	Streamer1	130	2	1	2122081	0	0
264.682	Streamer1	131	2	1	2122081	0	0
266.682	Streamer1	132	2	1	2122081	0	0
268.682	Streamer1	133	2	2	5108358	0	0,1
270.682	Streamer1	134	2	2	5108358	0	0,1
272.682	Streamer1	135	2	2	5108358	0	0,1
274.682	Streamer1	136	2	2	5108358	0	0,1
276.682	Streamer1	137	2	2	5108358	0	0,1
278.682	Streamer1	138	2	2	5108358	0	0,1
280.682	Streamer1	139	2	2	5108358	0	0,1
282.682	Streamer1	140	2	1	2122081	0	0
284.682	Streamer1	141	2	1	2122081	0	0
286.682	Streamer1	142	2	1	2122081	0	0
288.682	Streamer1	143	2	1	2122081	0	0
290.682	Streamer1	144	2	1	2122081	0	0
292.682	Streamer1	145	2	1	2122081	0	0
294.682	Streamer1	146	2	1	2122081	0	0
296.682	Streamer1	147	2	1	2122081	0	0
298.682	Streamer1	148	2	1	2122081	0	0
300.682	Streamer1	149	2	1	2122081	0	0
302.682	Streamer1	150	2	1	2122081	0	0
304.682	Streamer1	151	2	1	2122081	0	0
306.682	Streamer1	152	2	1	2122081	0	0
308.682	Streamer1	153	2	2	5108358	0	0,1
310.682	Streamer1	154	2	2	5108358	0	0,1
312.682	Streamer1	155	2	2	5108358	0	0,1
