Time	Node	Type	Packets	
45.5	RouterNet	CacheMisses	129
46	RouterNet	CacheHits	0
46	RouterNet	CacheMisses	132
46.5	RouterNet	CacheHits	0
46.5	RouterNet	CacheMisses	127
47	RouterNet	CacheHits	0
47	RouterNet	CacheMisses	134
47.5	RouterNet	CacheHits	0
47.5	RouterNet	CacheMisses	137
48	RouterNet	CacheHits	0
48	RouterNet	CacheMisses	134
48.5	RouterNet	CacheHits	0
48.5	RouterNet	CacheMisses	130
49	RouterNet	CacheHits	0
49	RouterNet	CacheMisses	134
49.5	RouterNet	CacheHits	0
49.5	RouterNet	CacheMisses	132
50	RouterNet	CacheHits	0
50	RouterNet	CacheMisses	137
50.5	RouterNet	CacheHits	0
50.5	RouterNet	CacheMisses	136
51	RouterNet	CacheHits	0
51	RouterNet	CacheMisses	135
51.5	RouterNet	CacheHits	0
51.5	RouterNet	CacheMisses	134
52	RouterNet	CacheHits	0
52	RouterNet	CacheMisses	126
52.5	RouterNet	CacheHits	0
52.5	RouterNet	CacheMisses	130
53	RouterNet	CacheHits	0
53	RouterNet	CacheMisses	133
53.5	RouterNet	CacheHits	0
53.5	RouterNet	CacheMisses	138
54	RouterNet	CacheHits	0
54	RouterNet	CacheMisses	135
54.5	RouterNet	CacheHits	0
54.5	RouterNet	CacheMisses	135
55	RouterNet	CacheHits	0
55	RouterNet	CacheMisses	131
55.5	RouterNet	CacheHits	0
55.5	RouterNet	CacheMisses	128
56	RouterNet	CacheHits	0
56	RouterNet	CacheMisses	133
56.5	RouterNet	CacheHits	0
56.5	RouterNet	CacheMisses	126
57	RouterNet	CacheHits	0
57	RouterNet	CacheMisses	124
57.5	RouterNet	CacheHits	0
57.5	RouterNet	CacheMisses	133
58	RouterNet	CacheHits	0
58	RouterNet	CacheMisses	125
58.5	RouterNet	CacheHits	0
58.5	RouterNet	CacheMisses	131
59	RouterNet	CacheHits	0
59	RouterNet	CacheMisses	87
59.5	RouterNet	CacheHits	0
59.5	RouterNet	CacheMisses	119
60	RouterNet	CacheHits	0
60	RouterNet	CacheMisses	135
60.5	RouterNet	CacheHits	0
60.5	RouterNet	CacheMisses	137
61	RouterNet	CacheHits	0
61	RouterNet	CacheMisses	136
61.5	RouterNet	CacheHits	0
61.5	RouterNet	CacheMisses	137
62	RouterNet	CacheHits	0
62	RouterNet	CacheMisses	136
62.5	RouterNet	CacheHits	0
62.5	RouterNet	CacheMisses	134
63	RouterNet	CacheHits	0
63	RouterNet	CacheMisses	133
63.5	RouterNet	CacheHits	0
63.5	RouterNet	CacheMisses	136
64	RouterNet	CacheHits	0
64	RouterNet	CacheMisses	137
64.5	RouterNet	CacheHits	0
64.5	RouterNet	CacheMisses	136
65	RouterNet	CacheHits	0
65	RouterNet	CacheMisses	136
65.5	RouterNet	CacheHits	0
65.5	RouterNet	CacheMisses	137
66	RouterNet	CacheHits	0
66	RouterNet	CacheMisses	136
66.5	RouterNet	CacheHits	0
66.5	RouterNet	CacheMisses	137
67	RouterNet	CacheHits	0
67	RouterNet	CacheMisses	136
67.5	RouterNet	CacheHits	0
67.5	RouterNet	CacheMisses	137
68	RouterNet	CacheHits	0
68	RouterNet	CacheMisses	131
68.5	RouterNet	CacheHits	0
68.5	RouterNet	CacheMisses	135
69	RouterNet	CacheHits	0
69	RouterNet	CacheMisses	130
69.5	RouterNet	CacheHits	0
69.5	RouterNet	CacheMisses	131
70	RouterNet	CacheHits	0
70	RouterNet	CacheMisses	135
70.5	RouterNet	CacheHits	0
70.5	RouterNet	CacheMisses	135
71	RouterNet	CacheHits	0
71	RouterNet	CacheMisses	134
71.5	RouterNet	CacheHits	0
71.5	RouterNet	CacheMisses	135
72	RouterNet	CacheHits	0
72	RouterNet	CacheMisses	130
72.5	RouterNet	CacheHits	0
72.5	RouterNet	CacheMisses	128
73	RouterNet	CacheHits	0
73	RouterNet	CacheMisses	133
73.5	RouterNet	CacheHits	0
73.5	RouterNet	CacheMisses	133
74	RouterNet	CacheHits	0
74	RouterNet	CacheMisses	128
74.5	RouterNet	CacheHits	0
74.5	RouterNet	CacheMisses	131
75	RouterNet	CacheHits	0
75	RouterNet	CacheMisses	134
75.5	RouterNet	CacheHits	0
75.5	RouterNet	CacheMisses	134
76	RouterNet	CacheHits	0
76	RouterNet	CacheMisses	130
76.5	RouterNet	CacheHits	0
76.5	RouterNet	CacheMisses	110
77	RouterNet	CacheHits	0
77	RouterNet	CacheMisses	132
