Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2.67988	Streamer1	0	2	0	624758	0	
4.67988	Streamer1	1	2	0	624758	0	
6.67988	Streamer1	2	2	0	624758	0	
8.67988	Streamer1	3	2	0	624758	0	
10.6799	Streamer1	4	2	0	624758	0	
12.6799	Streamer1	5	2	0	624758	0	
14.6799	Streamer1	6	2	0	624758	0	
16.6799	Streamer1	7	2	0	624758	0	
18.6799	Streamer1	8	2	0	624758	0	
20.6799	Streamer1	9	2	0	624758	0	
22.6799	Streamer1	10	2	0	624758	0	
24.6799	Streamer1	11	2	0	624758	0	
26.6799	Streamer1	12	2	0	624758	0	
28.6799	Streamer1	13	2	0	624758	0	
30.6799	Streamer1	14	2	1	2122081	0	0
32.6799	Streamer1	15	2	1	2122081	0	0
34.6799	Streamer1	16	2	1	2122081	0	0
36.6799	Streamer1	17	2	1	2122081	0	0
38.6799	Streamer1	18	2	1	2122081	0	0
40.6799	Streamer1	19	2	1	2122081	0	0
42.6799	Streamer1	20	2	1	2122081	0	0
44.6799	Streamer1	21	2	1	2122081	0	0
46.6799	Streamer1	22	2	1	2122081	0	0
48.6799	Streamer1	23	2	1	2122081	0	0
50.6799	Streamer1	24	2	1	2122081	0	0
52.6799	Streamer1	25	2	1	2122081	0	0
54.6799	Streamer1	26	2	1	2122081	0	0
56.6799	Streamer1	27	2	1	2122081	0	0
58.6799	Streamer1	28	2	1	2122081	0	0
60.6799	Streamer1	29	2	1	2122081	0	0
62.6799	Streamer1	30	2	1	2122081	0	0
64.6799	Streamer1	31	2	1	2122081	0	0
66.6799	Streamer1	32	2	1	2122081	0	0
68.6799	Streamer1	33	2	1	2122081	0	0
70.6799	Streamer1	34	2	1	2122081	0	0
72.6799	Streamer1	35	2	2	5108358	0	0,1
74.6799	Streamer1	36	2	2	5108358	0	0,1
76.6799	Streamer1	37	2	2	5108358	0	0,1
78.6799	Streamer1	38	2	2	5108358	0	0,1
80.6799	Streamer1	39	2	2	5108358	0	0,1
82.6799	Streamer1	40	2	1	2122081	0	0
