Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
3.67908	Streamer0	0	2	0	624758	0	
5.67908	Streamer0	1	2	0	624758	0	
7.67908	Streamer0	2	2	0	624758	0	
9.67908	Streamer0	3	2	0	624758	0	
11.6791	Streamer0	4	2	0	624758	0	
13.6791	Streamer0	5	2	0	624758	0	
15.6791	Streamer0	6	2	0	624758	0	
17.6791	Streamer0	7	2	0	624758	0	
19.6791	Streamer0	8	2	0	624758	0	
21.6791	Streamer0	9	2	0	624758	0	
23.6791	Streamer0	10	2	0	624758	0	
25.6791	Streamer0	11	2	0	624758	0	
27.6791	Streamer0	12	2	0	624758	0	
29.6791	Streamer0	13	2	0	624758	0	
31.6791	Streamer0	14	2	1	2122081	0	0
33.6791	Streamer0	15	2	1	2122081	0	0
35.6791	Streamer0	16	2	1	2122081	0	0
37.6791	Streamer0	17	2	1	2122081	0	0
39.6791	Streamer0	18	2	1	2122081	0	0
41.6791	Streamer0	19	2	1	2122081	0	0
43.6791	Streamer0	20	2	1	2122081	0	0
45.6791	Streamer0	21	2	1	2122081	0	0
47.6791	Streamer0	22	2	1	2122081	0	0
49.6791	Streamer0	23	2	1	2122081	0	0
51.6791	Streamer0	24	2	1	2122081	0	0
53.6791	Streamer0	25	2	1	2122081	0	0
55.6791	Streamer0	26	2	1	2122081	0	0
57.6791	Streamer0	27	2	1	2122081	0	0
59.6791	Streamer0	28	2	1	2122081	0	0
61.6791	Streamer0	29	2	1	2122081	0	0
63.6791	Streamer0	30	2	1	2122081	0	0
65.6791	Streamer0	31	2	1	2122081	0	0
67.6791	Streamer0	32	2	1	2122081	0	0
69.6791	Streamer0	33	2	1	2122081	0	0
71.6791	Streamer0	34	2	1	2122081	0	0
73.6791	Streamer0	35	2	1	2122081	0	0
75.6791	Streamer0	36	2	2	5108358	0	0,1
77.6791	Streamer0	37	2	2	5108358	0	0,1
79.6791	Streamer0	38	2	2	5108358	0	0,1
81.6791	Streamer0	39	2	2	5108358	0	0,1
83.6791	Streamer0	40	2	1	2122081	0	0
85.6791	Streamer0	41	2	1	2122081	0	0
87.6791	Streamer0	42	2	1	2122081	0	0
89.6791	Streamer0	43	2	1	2122081	0	0
91.6791	Streamer0	44	2	1	2122081	0	0
93.6791	Streamer0	45	2	1	2122081	0	0
95.6791	Streamer0	46	2	1	2122081	0	0
97.6791	Streamer0	47	2	1	2122081	0	0
99.6791	Streamer0	48	2	1	2122081	0	0
101.679	Streamer0	49	2	1	2122081	0	0
103.679	Streamer0	50	2	1	2122081	0	0
105.679	Streamer0	51	2	1	2122081	0	0
107.679	Streamer0	52	2	1	2122081	0	0
109.679	Streamer0	53	2	1	2122081	0	0
111.679	Streamer0	54	2	1	2122081	0	0
113.679	Streamer0	55	2	1	2122081	0	0
115.679	Streamer0	56	2	1	2122081	0	0
117.679	Streamer0	57	2	1	2122081	0	0
119.679	Streamer0	58	2	1	2122081	0	0
121.679	Streamer0	59	2	1	2122081	0	0
123.679	Streamer0	60	2	1	2122081	0	0
125.679	Streamer0	61	2	1	2122081	0	0
127.679	Streamer0	62	2	1	2122081	0	0
129.679	Streamer0	63	2	1	2122081	0	0
131.679	Streamer0	64	2	1	2122081	0	0
133.679	Streamer0	65	2	1	2122081	0	0
135.679	Streamer0	66	2	1	2122081	0	0
137.679	Streamer0	67	2	1	2122081	0	0
139.679	Streamer0	68	2	1	2122081	0	0
141.679	Streamer0	69	2	1	2122081	0	0
143.679	Streamer0	70	2	1	2122081	0	0
145.679	Streamer0	71	2	1	2122081	0	0
147.679	Streamer0	72	2	1	2122081	0	0
149.679	Streamer0	73	2	1	2122081	0	0
151.679	Streamer0	74	2	1	2122081	0	0
153.679	Streamer0	75	2	1	2122081	0	0
155.679	Streamer0	76	2	2	5108358	0	0,1
157.679	Streamer0	77	2	2	5108358	0	0,1
159.679	Streamer0	78	2	2	5108358	0	0,1
161.679	Streamer0	79	2	2	5108358	0	0,1
163.679	Streamer0	80	2	2	5108358	0	0,1
165.679	Streamer0	81	2	2	5108358	0	0,1
167.679	Streamer0	82	2	2	5108358	0	0,1
169.679	Streamer0	83	2	2	5108358	0	0,1
171.679	Streamer0	84	2	2	5108358	0	0,1
173.679	Streamer0	85	2	2	5108358	0	0,1
175.679	Streamer0	86	2	2	5108358	0	0,1
177.679	Streamer0	87	2	2	5108358	0	0,1
179.679	Streamer0	88	2	2	5108358	0	0,1
181.679	Streamer0	89	2	1	2122081	0	0
183.679	Streamer0	90	2	1	2122081	0	0
185.679	Streamer0	91	2	1	2122081	0	0
187.679	Streamer0	92	2	1	2122081	0	0
189.679	Streamer0	93	2	1	2122081	0	0
191.679	Streamer0	94	2	1	2122081	0	0
193.679	Streamer0	95	2	1	2122081	0	0
195.679	Streamer0	96	2	1	2122081	0	0
197.679	Streamer0	97	2	1	2122081	0	0
199.679	Streamer0	98	2	1	2122081	0	0
201.679	Streamer0	99	2	1	2122081	0	0
203.679	Streamer0	100	2	1	2122081	0	0
205.679	Streamer0	101	2	1	2122081	0	0
207.679	Streamer0	102	2	1	2122081	0	0
209.679	Streamer0	103	2	2	5108358	0	0,1
211.679	Streamer0	104	2	2	5108358	0	0,1
213.679	Streamer0	105	2	2	5108358	0	0,1
215.679	Streamer0	106	2	2	5108358	0	0,1
217.679	Streamer0	107	2	2	5108358	0	0,1
219.679	Streamer0	108	2	2	5108358	0	0,1
221.679	Streamer0	109	2	2	5108358	0	0,1
223.679	Streamer0	110	2	1	2122081	0	0
225.679	Streamer0	111	2	1	2122081	0	0
227.679	Streamer0	112	2	1	2122081	0	0
229.679	Streamer0	113	2	1	2122081	0	0
231.679	Streamer0	114	2	1	2122081	0	0
233.679	Streamer0	115	2	1	2122081	0	0
235.679	Streamer0	116	2	1	2122081	0	0
237.679	Streamer0	117	2	1	2122081	0	0
239.679	Streamer0	118	2	1	2122081	0	0
241.679	Streamer0	119	2	1	2122081	0	0
243.679	Streamer0	120	2	1	2122081	0	0
245.679	Streamer0	121	2	1	2122081	0	0
247.679	Streamer0	122	2	1	2122081	0	0
249.679	Streamer0	123	2	1	2122081	0	0
251.679	Streamer0	124	2	1	2122081	0	0
253.679	Streamer0	125	2	1	2122081	0	0
255.679	Streamer0	126	2	1	2122081	0	0
257.679	Streamer0	127	2	1	2122081	0	0
259.679	Streamer0	128	2	1	2122081	0	0
261.679	Streamer0	129	2	1	2122081	0	0
263.679	Streamer0	130	2	1	2122081	0	0
265.679	Streamer0	131	2	1	2122081	0	0
267.679	Streamer0	132	2	1	2122081	0	0
269.679	Streamer0	133	2	1	2122081	0	0
271.679	Streamer0	134	2	2	5108358	0	0,1
273.679	Streamer0	135	2	2	5108358	0	0,1
275.679	Streamer0	136	2	2	5108358	0	0,1
277.679	Streamer0	137	2	2	5108358	0	0,1
279.679	Streamer0	138	2	2	5108358	0	0,1
281.679	Streamer0	139	2	2	5108358	0	0,1
283.679	Streamer0	140	2	2	5108358	0	0,1
285.679	Streamer0	141	2	1	2122081	0	0
287.679	Streamer0	142	2	1	2122081	0	0
289.679	Streamer0	143	2	1	2122081	0	0
291.679	Streamer0	144	2	1	2122081	0	0
293.679	Streamer0	145	2	1	2122081	0	0
295.679	Streamer0	146	2	1	2122081	0	0
297.679	Streamer0	147	2	1	2122081	0	0
299.679	Streamer0	148	2	1	2122081	0	0
301.679	Streamer0	149	2	1	2122081	0	0
303.679	Streamer0	150	2	1	2122081	0	0
305.679	Streamer0	151	2	1	2122081	0	0
307.679	Streamer0	152	2	1	2122081	0	0
309.679	Streamer0	153	2	1	2122081	0	0
311.679	Streamer0	154	2	2	5108358	0	0,1
313.679	Streamer0	155	2	2	5108358	0	0,1
315.679	Streamer0	156	2	2	5108358	0	0,1
317.679	Streamer0	157	2	2	5108358	0	0,1
319.679	Streamer0	158	2	2	5108358	0	0,1
321.679	Streamer0	159	2	2	5108358	0	0,1
323.679	Streamer0	160	2	2	5108358	0	0,1
325.679	Streamer0	161	2	2	5108358	0	0,1
327.679	Streamer0	162	2	1	2122081	0	0
329.679	Streamer0	163	2	1	2122081	0	0
331.679	Streamer0	164	2	1	2122081	0	0
333.679	Streamer0	165	2	1	2122081	0	0
335.679	Streamer0	166	2	1	2122081	0	0
337.679	Streamer0	167	2	1	2122081	0	0
339.679	Streamer0	168	2	1	2122081	0	0
341.679	Streamer0	169	2	1	2122081	0	0
343.679	Streamer0	170	2	1	2122081	0	0
345.679	Streamer0	171	2	1	2122081	0	0
347.679	Streamer0	172	2	1	2122081	0	0
349.679	Streamer0	173	2	1	2122081	0	0
351.679	Streamer0	174	2	1	2122081	0	0
353.679	Streamer0	175	2	1	2122081	0	0
355.679	Streamer0	176	2	1	2122081	0	0
357.679	Streamer0	177	2	1	2122081	0	0
359.679	Streamer0	178	2	1	2122081	0	0
361.679	Streamer0	179	2	2	5108358	0	0,1
363.679	Streamer0	180	2	2	5108358	0	0,1
365.679	Streamer0	181	2	2	5108358	0	0,1
367.679	Streamer0	182	2	2	5108358	0	0,1
369.679	Streamer0	183	2	2	5108358	0	0,1
371.679	Streamer0	184	2	1	2122081	0	0
373.679	Streamer0	185	2	1	2122081	0	0
375.679	Streamer0	186	2	1	2122081	0	0
377.679	Streamer0	187	2	1	2122081	0	0
379.679	Streamer0	188	2	1	2122081	0	0
381.679	Streamer0	189	2	1	2122081	0	0
383.679	Streamer0	190	2	1	2122081	0	0
385.679	Streamer0	191	2	1	2122081	0	0
387.679	Streamer0	192	2	1	2122081	0	0
389.679	Streamer0	193	2	1	2122081	0	0
391.679	Streamer0	194	2	1	2122081	0	0
393.679	Streamer0	195	2	1	2122081	0	0
395.679	Streamer0	196	2	1	2122081	0	0
397.679	Streamer0	197	2	1	2122081	0	0
399.679	Streamer0	198	2	1	2122081	0	0
401.679	Streamer0	199	2	1	2122081	0	0
403.679	Streamer0	200	2	1	2122081	0	0
405.679	Streamer0	201	2	1	2122081	0	0
407.679	Streamer0	202	2	1	2122081	0	0
409.679	Streamer0	203	2	1	2122081	0	0
411.679	Streamer0	204	2	1	2122081	0	0
413.679	Streamer0	205	2	1	2122081	0	0
415.679	Streamer0	206	2	1	2122081	0	0
417.679	Streamer0	207	2	1	2122081	0	0
419.679	Streamer0	208	2	1	2122081	0	0
421.679	Streamer0	209	2	1	2122081	0	0
423.679	Streamer0	210	2	1	2122081	0	0
425.679	Streamer0	211	2	1	2122081	0	0
427.679	Streamer0	212	2	1	2122081	0	0
429.679	Streamer0	213	2	1	2122081	0	0
431.679	Streamer0	214	2	1	2122081	0	0
433.679	Streamer0	215	2	1	2122081	0	0
435.679	Streamer0	216	2	1	2122081	0	0
437.679	Streamer0	217	2	1	2122081	0	0
439.679	Streamer0	218	2	1	2122081	0	0
441.679	Streamer0	219	2	1	2122081	0	0
443.679	Streamer0	220	2	2	5108358	0	0,1
445.679	Streamer0	221	2	2	5108358	0	0,1
447.679	Streamer0	222	2	2	5108358	0	0,1
449.679	Streamer0	223	2	2	5108358	0	0,1
451.679	Streamer0	224	2	2	5108358	0	0,1
453.679	Streamer0	225	2	2	5108358	0	0,1
455.679	Streamer0	226	2	2	5108358	0	0,1
457.679	Streamer0	227	2	2	5108358	0	0,1
459.679	Streamer0	228	2	2	5108358	0	0,1
461.679	Streamer0	229	2	2	5108358	0	0,1
463.679	Streamer0	230	2	2	5108358	0	0,1
465.679	Streamer0	231	2	1	2122081	0	0
467.679	Streamer0	232	2	1	2122081	0	0
469.679	Streamer0	233	2	1	2122081	0	0
471.679	Streamer0	234	2	1	2122081	0	0
473.679	Streamer0	235	2	1	2122081	0	0
475.679	Streamer0	236	2	1	2122081	0	0
477.679	Streamer0	237	2	1	2122081	0	0
479.679	Streamer0	238	2	1	2122081	0	0
481.679	Streamer0	239	2	1	2122081	0	0
483.679	Streamer0	240	2	1	2122081	0	0
485.679	Streamer0	241	2	1	2122081	0	0
487.679	Streamer0	242	2	1	2122081	0	0
489.679	Streamer0	243	2	1	2122081	0	0
491.679	Streamer0	244	2	1	2122081	0	0
493.679	Streamer0	245	2	1	2122081	0	0
495.679	Streamer0	246	2	1	2122081	0	0
497.679	Streamer0	247	2	1	2122081	0	0
499.679	Streamer0	248	2	1	2122081	0	0
501.679	Streamer0	249	2	1	2122081	0	0
503.679	Streamer0	250	2	1	2122081	0	0
505.679	Streamer0	251	2	1	2122081	0	0
507.679	Streamer0	252	2	1	2122081	0	0
509.679	Streamer0	253	2	1	2122081	0	0
511.679	Streamer0	254	2	1	2122081	0	0
513.679	Streamer0	255	2	1	2122081	0	0
515.679	Streamer0	256	2	1	2122081	0	0
517.679	Streamer0	257	2	1	2122081	0	0
519.679	Streamer0	258	2	1	2122081	0	0
521.679	Streamer0	259	2	1	2122081	0	0
523.679	Streamer0	260	2	1	2122081	0	0
525.679	Streamer0	261	2	1	2122081	0	0
527.679	Streamer0	262	2	1	2122081	0	0
529.679	Streamer0	263	2	1	2122081	0	0
531.679	Streamer0	264	2	1	2122081	0	0
533.679	Streamer0	265	2	1	2122081	0	0
535.679	Streamer0	266	2	1	2122081	0	0
537.679	Streamer0	267	2	1	2122081	0	0
539.679	Streamer0	268	2	1	2122081	0	0
541.679	Streamer0	269	2	1	2122081	0	0
543.679	Streamer0	270	2	1	2122081	0	0
545.679	Streamer0	271	2	1	2122081	0	0
547.679	Streamer0	272	2	1	2122081	0	0
549.679	Streamer0	273	2	1	2122081	0	0
551.679	Streamer0	274	2	1	2122081	0	0
553.679	Streamer0	275	2	1	2122081	0	0
555.679	Streamer0	276	2	1	2122081	0	0
557.679	Streamer0	277	2	1	2122081	0	0
559.679	Streamer0	278	2	1	2122081	0	0
561.679	Streamer0	279	2	1	2122081	0	0
563.679	Streamer0	280	2	1	2122081	0	0
565.679	Streamer0	281	2	1	2122081	0	0
567.679	Streamer0	282	2	1	2122081	0	0
569.679	Streamer0	283	2	1	2122081	0	0
571.679	Streamer0	284	2	1	2122081	0	0
573.679	Streamer0	285	2	1	2122081	0	0
