Time	Node	Type	Packets	
0.5	Router2	CacheHits	0
0.5	Router2	CacheMisses	0
1	Router2	CacheHits	0
1	Router2	CacheMisses	0
1.5	Router2	CacheHits	0
1.5	Router2	CacheMisses	32
2	Router2	CacheHits	0
2	Router2	CacheMisses	41
2.5	Router2	CacheHits	0
2.5	Router2	CacheMisses	42
3	Router2	CacheHits	0
3	Router2	CacheMisses	44
3.5	Router2	CacheHits	0
3.5	Router2	CacheMisses	43
4	Router2	CacheHits	0
4	Router2	CacheMisses	41
4.5	Router2	CacheHits	0
4.5	Router2	CacheMisses	42
5	Router2	CacheHits	0
5	Router2	CacheMisses	42
5.5	Router2	CacheHits	0
5.5	Router2	CacheMisses	45
6	Router2	CacheHits	0
6	Router2	CacheMisses	42
6.5	Router2	CacheHits	0
6.5	Router2	CacheMisses	37
7	Router2	CacheHits	0
7	Router2	CacheMisses	37
7.5	Router2	CacheHits	0
7.5	Router2	CacheMisses	42
8	Router2	CacheHits	0
8	Router2	CacheMisses	46
8.5	Router2	CacheHits	0
8.5	Router2	CacheMisses	42
9	Router2	CacheHits	0
9	Router2	CacheMisses	41
9.5	Router2	CacheHits	0
9.5	Router2	CacheMisses	42
10	Router2	CacheHits	0
10	Router2	CacheMisses	41
10.5	Router2	CacheHits	0
10.5	Router2	CacheMisses	46
11	Router2	CacheHits	0
11	Router2	CacheMisses	42
11.5	Router2	CacheHits	0
11.5	Router2	CacheMisses	38
12	Router2	CacheHits	0
12	Router2	CacheMisses	40
12.5	Router2	CacheHits	0
12.5	Router2	CacheMisses	42
13	Router2	CacheHits	0
13	Router2	CacheMisses	42
13.5	Router2	CacheHits	0
13.5	Router2	CacheMisses	45
14	Router2	CacheHits	0
14	Router2	CacheMisses	42
14.5	Router2	CacheHits	0
14.5	Router2	CacheMisses	46
15	Router2	CacheHits	0
15	Router2	CacheMisses	41
15.5	Router2	CacheHits	0
15.5	Router2	CacheMisses	46
16	Router2	CacheHits	0
16	Router2	CacheMisses	42
16.5	Router2	CacheHits	0
16.5	Router2	CacheMisses	41
17	Router2	CacheHits	0
17	Router2	CacheMisses	42
17.5	Router2	CacheHits	0
17.5	Router2	CacheMisses	41
18	Router2	CacheHits	0
18	Router2	CacheMisses	42
18.5	Router2	CacheHits	0
18.5	Router2	CacheMisses	42
19	Router2	CacheHits	0
19	Router2	CacheMisses	41
19.5	Router2	CacheHits	0
19.5	Router2	CacheMisses	42
20	Router2	CacheHits	0
20	Router2	CacheMisses	41
20.5	Router2	CacheHits	0
20.5	Router2	CacheMisses	42
21	Router2	CacheHits	0
21	Router2	CacheMisses	41
21.5	Router2	CacheHits	0
21.5	Router2	CacheMisses	42
22	Router2	CacheHits	0
22	Router2	CacheMisses	37
22.5	Router2	CacheHits	0
22.5	Router2	CacheMisses	41
23	Router2	CacheHits	0
23	Router2	CacheMisses	42
23.5	Router2	CacheHits	0
23.5	Router2	CacheMisses	45
24	Router2	CacheHits	0
24	Router2	CacheMisses	43
24.5	Router2	CacheHits	0
24.5	Router2	CacheMisses	45
25	Router2	CacheHits	0
25	Router2	CacheMisses	46
25.5	Router2	CacheHits	0
25.5	Router2	CacheMisses	38
26	Router2	CacheHits	0
26	Router2	CacheMisses	45
26.5	Router2	CacheHits	0
26.5	Router2	CacheMisses	42
27	Router2	CacheHits	0
27	Router2	CacheMisses	41
27.5	Router2	CacheHits	0
27.5	Router2	CacheMisses	45
28	Router2	CacheHits	0
28	Router2	CacheMisses	42
28.5	Router2	CacheHits	0
28.5	Router2	CacheMisses	45
29	Router2	CacheHits	0
29	Router2	CacheMisses	42
29.5	Router2	CacheHits	0
29.5	Router2	CacheMisses	42
30	Router2	CacheHits	0
30	Router2	CacheMisses	45
30.5	Router2	CacheHits	0
30.5	Router2	CacheMisses	43
31	Router2	CacheHits	0
31	Router2	CacheMisses	40
31.5	Router2	CacheHits	0
31.5	Router2	CacheMisses	46
32	Router2	CacheHits	0
32	Router2	CacheMisses	41
32.5	Router2	CacheHits	0
32.5	Router2	CacheMisses	42
33	Router2	CacheHits	0
33	Router2	CacheMisses	46
33.5	Router2	CacheHits	0
33.5	Router2	CacheMisses	45
34	Router2	CacheHits	0
34	Router2	CacheMisses	46
34.5	Router2	CacheHits	0
34.5	Router2	CacheMisses	42
35	Router2	CacheHits	0
35	Router2	CacheMisses	41
35.5	Router2	CacheHits	0
35.5	Router2	CacheMisses	45
36	Router2	CacheHits	0
36	Router2	CacheMisses	46
36.5	Router2	CacheHits	0
36.5	Router2	CacheMisses	44
37	Router2	CacheHits	0
37	Router2	CacheMisses	44
37.5	Router2	CacheHits	0
37.5	Router2	CacheMisses	41
38	Router2	CacheHits	0
38	Router2	CacheMisses	45
38.5	Router2	CacheHits	0
38.5	Router2	CacheMisses	46
39	Router2	CacheHits	0
39	Router2	CacheMisses	42
39.5	Router2	CacheHits	0
39.5	Router2	CacheMisses	46
40	Router2	CacheHits	0
40	Router2	CacheMisses	41
40.5	Router2	CacheHits	0
40.5	Router2	CacheMisses	45
41	Router2	CacheHits	0
41	Router2	CacheMisses	46
41.5	Router2	CacheHits	0
41.5	Router2	CacheMisses	41
42	Router2	CacheHits	0
42	Router2	CacheMisses	46
42.5	Router2	CacheHits	0
42.5	Router2	CacheMisses	42
43	Router2	CacheHits	0
43	Router2	CacheMisses	41
43.5	Router2	CacheHits	0
43.5	Router2	CacheMisses	46
44	Router2	CacheHits	0
44	Router2	CacheMisses	45
44.5	Router2	CacheHits	0
44.5	Router2	CacheMisses	38
45	Router2	CacheHits	0
45	Router2	CacheMisses	45
45.5	Router2	CacheHits	0
45.5	Router2	CacheMisses	42
46	Router2	CacheHits	0
46	Router2	CacheMisses	45
46.5	Router2	CacheHits	0
46.5	Router2	CacheMisses	38
47	Router2	CacheHits	0
47	Router2	CacheMisses	45
47.5	Router2	CacheHits	0
47.5	Router2	CacheMisses	46
48	Router2	CacheHits	0
48	Router2	CacheMisses	45
48.5	Router2	CacheHits	0
48.5	Router2	CacheMisses	42
49	Router2	CacheHits	0
49	Router2	CacheMisses	42
49.5	Router2	CacheHits	0
49.5	Router2	CacheMisses	45
50	Router2	CacheHits	0
50	Router2	CacheMisses	46
50.5	Router2	CacheHits	0
50.5	Router2	CacheMisses	45
51	Router2	CacheHits	0
51	Router2	CacheMisses	46
51.5	Router2	CacheHits	0
51.5	Router2	CacheMisses	45
52	Router2	CacheHits	0
52	Router2	CacheMisses	39
52.5	Router2	CacheHits	0
52.5	Router2	CacheMisses	40
53	Router2	CacheHits	0
53	Router2	CacheMisses	46
53.5	Router2	CacheHits	0
53.5	Router2	CacheMisses	45
54	Router2	CacheHits	0
54	Router2	CacheMisses	46
54.5	Router2	CacheHits	0
54.5	Router2	CacheMisses	45
55	Router2	CacheHits	0
55	Router2	CacheMisses	43
55.5	Router2	CacheHits	0
55.5	Router2	CacheMisses	40
56	Router2	CacheHits	0
56	Router2	CacheMisses	46
56.5	Router2	CacheHits	0
56.5	Router2	CacheMisses	38
57	Router2	CacheHits	0
57	Router2	CacheMisses	44
57.5	Router2	CacheHits	0
57.5	Router2	CacheMisses	40
58	Router2	CacheHits	0
58	Router2	CacheMisses	41
58.5	Router2	CacheHits	0
58.5	Router2	CacheMisses	42
59	Router2	CacheHits	0
59	Router2	CacheMisses	41
59.5	Router2	CacheHits	0
59.5	Router2	CacheMisses	46
60	Router2	CacheHits	0
60	Router2	CacheMisses	45
60.5	Router2	CacheHits	0
60.5	Router2	CacheMisses	46
61	Router2	CacheHits	0
61	Router2	CacheMisses	46
61.5	Router2	CacheHits	0
61.5	Router2	CacheMisses	45
62	Router2	CacheHits	0
62	Router2	CacheMisses	45
62.5	Router2	CacheHits	0
62.5	Router2	CacheMisses	43
63	Router2	CacheHits	0
63	Router2	CacheMisses	45
63.5	Router2	CacheHits	0
63.5	Router2	CacheMisses	46
64	Router2	CacheHits	0
64	Router2	CacheMisses	45
64.5	Router2	CacheHits	0
64.5	Router2	CacheMisses	46
65	Router2	CacheHits	0
65	Router2	CacheMisses	45
65.5	Router2	CacheHits	0
65.5	Router2	CacheMisses	46
66	Router2	CacheHits	0
66	Router2	CacheMisses	45
66.5	Router2	CacheHits	0
66.5	Router2	CacheMisses	46
67	Router2	CacheHits	0
67	Router2	CacheMisses	45
67.5	Router2	CacheHits	0
67.5	Router2	CacheMisses	46
68	Router2	CacheHits	0
68	Router2	CacheMisses	42
68.5	Router2	CacheHits	0
68.5	Router2	CacheMisses	46
69	Router2	CacheHits	0
69	Router2	CacheMisses	45
69.5	Router2	CacheHits	0
69.5	Router2	CacheMisses	46
70	Router2	CacheHits	0
70	Router2	CacheMisses	45
70.5	Router2	CacheHits	0
70.5	Router2	CacheMisses	46
71	Router2	CacheHits	0
71	Router2	CacheMisses	45
71.5	Router2	CacheHits	0
71.5	Router2	CacheMisses	46
72	Router2	CacheHits	0
72	Router2	CacheMisses	41
72.5	Router2	CacheHits	0
72.5	Router2	CacheMisses	41
73	Router2	CacheHits	0
73	Router2	CacheMisses	38
73.5	Router2	CacheHits	0
73.5	Router2	CacheMisses	46
74	Router2	CacheHits	0
74	Router2	CacheMisses	41
74.5	Router2	CacheHits	0
74.5	Router2	CacheMisses	39
75	Router2	CacheHits	0
75	Router2	CacheMisses	45
75.5	Router2	CacheHits	0
75.5	Router2	CacheMisses	46
76	Router2	CacheHits	0
76	Router2	CacheMisses	42
76.5	Router2	CacheHits	0
76.5	Router2	CacheMisses	45
77	Router2	CacheHits	0
77	Router2	CacheMisses	43
77.5	Router2	CacheHits	0
77.5	Router2	CacheMisses	41
78	Router2	CacheHits	0
78	Router2	CacheMisses	45
78.5	Router2	CacheHits	0
78.5	Router2	CacheMisses	46
79	Router2	CacheHits	0
79	Router2	CacheMisses	37
